Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,5209.370117,5673.870117,4895.729980,5223.120117,5223.120117,1414879
2019-01-17,5223.120117,5620.069824,4719.540039,5034.560059,5034.560059,1090430
2019-01-18,5034.560059,5618.540039,4692.930176,5048.450195,5048.450195,1094130
2019-01-19,5048.450195,5763.100098,4800.990234,4998.970215,4998.970215,743532
2019-01-20,4998.970215,5737.220215,4674.259766,4917.529785,4917.529785,504476
2019-01-21,4917.529785,5570.919922,4665.890137,5112.790039,5112.790039,559250
2019-01-22,5112.790039,5565.290039,4874.100098,5016.220215,5016.220215,586387
2019-01-23,5016.220215,5474.569824,4762.359863,5146.040039,5146.040039,624607
2019-01-24,5146.040039,5439.640137,4747.160156,4986.040039,4986.040039,516170
2019-01-25,4986.040039,5441.370117,4723.990234,5039.839844,5039.839844,606505
2019-01-26,5039.839844,5406.319824,4731.490234,4906.629883,4906.629883,378910
2019-01-27,4906.629883,5371.180176,4662.100098,4959.930176,4959.930176,393758
2019-01-28,4959.930176,5385.750000,4477.790039,4535.140137,4535.140137,1093792
2019-01-29,4535.140137,4554.109863,4426.839844,4483.000000,4483.000000,389174
2019-01-30,4483.000000,4590.100098,4416.200195,4521.100098,4521.100098,956982
2019-01-31,4521.100098,4541.899902,4405.899902,4446.600098,4446.600098,465642
2019-02-01,4446.600098,4480.799805,4349.799805,4464.799805,4464.799805,799256
2019-02-02,4464.799805,4465.399902,4353.000000,4410.000000,4410.000000,238522
2019-02-03,4410.000000,4443.899902,4201.100098,4278.200195,4278.200195,275541
2019-02-04,4278.200195,4429.000000,4200.100098,4398.299805,4398.299805,623579
2019-02-05,4398.299805,4487.399902,4260.299805,4458.500000,4458.500000,733667
2019-02-06,4458.500000,4483.299805,4319.200195,4338.799805,4338.799805,920735
2019-02-07,4338.799805,4424.000000,4285.600098,4388.600098,4388.600098,718889
2019-02-08,4388.600098,4760.000000,4351.600098,4694.000000,4694.000000,1319823
2019-02-09,4694.000000,4738.200195,4660.700195,4734.899902,4734.899902,208479
2019-02-10,4734.899902,4735.000000,4355.000000,4629.899902,4629.899902,463979
2019-02-11,4629.899902,4733.700195,4600.600098,4691.799805,4691.799805,318770
2019-02-12,4691.799805,4772.500000,4640.100098,4741.100098,4741.100098,589932
2019-02-13,4741.100098,4758.399902,4667.700195,4742.299805,4742.299805,341420
2019-02-14,4742.299805,4770.899902,4691.200195,4749.899902,4749.899902,329369
2019-02-15,4749.899902,4757.899902,4712.000000,4730.100098,4730.100098,333401
2019-02-16,4730.100098,4760.000000,4716.399902,4734.600098,4734.600098,413160
2019-02-17,4734.600098,4790.000000,4688.000000,4790.000000,4790.000000,411194
2019-02-18,4790.000000,5189.899902,4756.500000,5068.899902,5068.899902,905324
2019-02-19,5068.899902,5273.700195,5049.700195,5155.899902,5155.899902,864462
2019-02-20,5155.899902,5215.000000,5102.000000,5210.899902,5210.899902,438814
2019-02-21,5210.899902,5248.899902,5094.600098,5164.299805,5164.299805,586850
2019-02-22,5164.299805,5259.600098,5139.899902,5239.600098,5239.600098,561467
2019-02-23,5239.600098,5430.200195,5150.000000,5394.000000,5394.000000,654314
2019-02-24,5394.000000,5493.299805,4861.799805,4957.600098,4957.600098,770965
2019-02-25,4957.600098,5100.000000,4924.899902,5055.299805,5055.299805,526298
2019-02-26,5055.299805,5099.899902,5012.799805,5049.500000,5049.500000,398566
2019-02-27,5049.500000,5050.000000,4889.799805,5029.299805,5029.299805,537403
2019-02-28,5029.299805,5135.700195,4986.899902,5019.700195,5019.700195,561614
2019-03-01,5019.700195,5159.700195,4988.600098,5113.799805,5113.799805,613941
2019-03-02,5113.799805,5122.000000,5061.899902,5104.000000,5104.000000,212762
2019-03-03,5104.000000,5104.000000,5052.000000,5075.200195,5075.200195,210178
2019-03-04,5075.200195,5100.000000,4925.600098,4988.000000,4988.000000,547156
2019-03-05,4988.000000,5153.000000,4917.100098,5121.000000,5121.000000,741987
2019-03-06,5121.000000,5188.000000,5079.299805,5182.899902,5182.899902,501283
2019-03-07,5182.899902,5229.899902,5148.000000,5204.100098,5204.100098,632683
2019-03-08,5204.100098,5244.700195,5100.000000,5158.600098,5158.600098,545665
2019-03-09,5158.600098,5268.000000,5158.600098,5217.200195,5217.200195,272217
2019-03-10,5217.200195,5257.100098,5190.000000,5211.500000,5211.500000,170669
2019-03-11,5211.500000,5228.500000,5103.100098,5176.500000,5176.500000,381315
2019-03-12,5176.500000,5218.600098,5093.299805,5191.799805,5191.799805,439163
2019-03-13,5191.799805,5202.600098,5090.000000,5170.200195,5170.200195,1449880
2019-03-14,5170.200195,5201.000000,5105.100098,5170.000000,5170.000000,326943
2019-03-15,5170.000000,5235.000000,5143.500000,5210.600098,5210.600098,651226
2019-03-16,5210.600098,5359.000000,5210.600098,5339.799805,5339.799805,354381
2019-03-17,5339.799805,5339.899902,5175.799805,5303.799805,5303.799805,389617
2019-03-18,5303.799805,5377.000000,5262.000000,5314.100098,5314.100098,408824
2019-03-19,5314.100098,5349.899902,5243.899902,5336.500000,5336.500000,572035
2019-03-20,5336.500000,5350.000000,5266.100098,5350.000000,5350.000000,538193
2019-03-21,5350.000000,5379.700195,5242.200195,5303.000000,5303.000000,673926
2019-03-22,5303.000000,5350.000000,5284.500000,5331.600098,5331.600098,414332
2019-03-23,5331.600098,5358.799805,5302.100098,5355.000000,5355.000000,245386
2019-03-24,5355.000000,5355.000000,5303.600098,5330.000000,5330.000000,235441
2019-03-25,5330.000000,5347.100098,5184.399902,5236.600098,5236.600098,483227
2019-03-26,5236.600098,5284.000000,5210.899902,5269.899902,5269.899902,387262
2019-03-27,5269.899902,5397.000000,5253.000000,5394.799805,5394.799805,422629
2019-03-28,5394.799805,5399.000000,5347.399902,5396.700195,5396.700195,480652
2019-03-29,5396.700195,5480.000000,5367.600098,5454.899902,5454.899902,808868
2019-03-30,5454.899902,5490.000000,5410.700195,5467.899902,5467.899902,420892
2019-03-31,5467.899902,5500.000000,5428.600098,5459.899902,5459.899902,364518
2019-03-31,5459.899902,5500.000000,5220.000000,5445.100098,5445.100098,858853
2019-04-01,5445.100098,6450.000000,5434.600098,6405.200195,6405.200195,1715271
2019-04-02,6405.200195,6900.000000,6310.299805,6415.000000,6415.000000,1986514
2019-04-03,6415.000000,6500.000000,5400.000000,6381.000000,6381.000000,917629
